Date,AAPL,AGL.JO,FSR.JO,MSFT,MTN.JO,NPN.JO,NVDA,SBK.JO,USDZAR=X
2024-12-04,241.68971252441406,56693.859375,7818.28564453125,433.22802734375,8275.384765625,86207.6484375,145.08245849609375,22892.62109375,18.09830093383789
2024-12-05,241.71957397460938,56652.5859375,8022.16259765625,438.3782043457031,8464.3251953125,87795.7734375,145.0124969482422,23237.388671875,18.15488052368164
2024-12-06,241.5206298828125,55873.203125,7964.19775390625,439.3191223144531,8538.3017578125,88238.953125,142.3933563232422,23208.408203125,18.008699417114258
2024-12-09,245.40939331054688,57365.12890625,8005.17333984375,441.7456359863281,8455.3271484375,88600.3359375,138.76454162597656,23327.330078125,18.002099990844727
2024-12-10,246.4238739013672,56221.125,8059.140625,439.0813903808594,8594.283203125,87385.7890625,135.0257568359375,23216.404296875,17.774030685424805
2024-12-11,245.1508331298828,56425.55078125,8021.16357421875,444.6871643066406,8500.3134765625,87208.0,139.26437377929688,22934.59375,17.801300048828125
2024-12-12,246.6128387451172,56193.60546875,8014.16748046875,445.2516784667969,8584.287109375,87507.5859375,137.29501342773438,22860.642578125,17.686100006103516
2024-12-13,246.7819061279297,55170.49609375,8134.09521484375,442.983642578125,8741.2373046875,88855.3203125,134.20602416992188,22953.580078125,17.77440071105957
2024-12-16,249.6761016845703,,,447.26226806640625,,,131.95675659179688,,17.822280883789062
2024-12-17,252.1028289794922,55234.37890625,7854.26416015625,450.1047058105469,8377.3525390625,88907.1171875,130.3472900390625,22573.8359375,17.837099075317383
2024-12-18,246.7023468017578,54514.953125,7888.24365234375,433.1983337402344,8468.3232421875,87473.7890625,128.86778259277344,22689.755859375,18.079700469970703
2024-12-19,248.432861328125,53340.484375,7737.33447265625,432.8417663574219,8219.40234375,86615.828125,130.63719177246094,22410.9453125,18.32200050354004
2024-12-20,253.10736083984375,51842.671875,7704.35400390625,432.4159240722656,8249.392578125,84395.9375,134.65586853027344,22528.865234375,18.391599655151367
2024-12-23,253.8831024169922,52978.8125,7710.35107421875,431.078857421875,8186.41259765625,85817.0703125,139.62423706054688,22520.87109375,18.271150588989258
2024-12-24,256.7972106933594,53523.2890625,7755.3232421875,435.11968994140625,8456.3271484375,85495.8828125,140.174072265625,22532.86328125,18.535310745239258
2024-12-25,,,,,,,,,18.678489685058594
2024-12-26,257.61273193359375,,,433.9114074707031,,,139.8841552734375,,18.688199996948242
2024-12-27,254.20135498046875,54116.91015625,7683.36669921875,426.404052734375,9286.0654296875,84937.90625,136.96511840820312,22306.015625,18.835800170898438
2024-12-30,250.8297882080078,53705.11328125,7655.3837890625,420.7586669921875,9284.0654296875,83013.0,137.4449462890625,22124.138671875,18.654499053955078
2024-12-31,249.05946350097656,54236.81640625,7591.42236328125,417.46063232421875,9196.09375,83460.375,134.2460174560547,22161.111328125,18.76490020751953
2025-01-02,242.52517700195312,54140.49609375,7625.40234375,414.5685729980469,9258.07421875,82259.640625,138.26470947265625,22240.05859375,18.82015037536621
2025-01-03,242.03781127929688,53854.50390625,7712.34912109375,419.29290771484375,9333.0498046875,82837.40625,144.4226837158203,22463.91015625,18.739599227905273
2025-01-06,243.66891479492188,54505.125,7707.3525390625,423.749755859375,9396.0302734375,83196.7890625,149.3810577392578,22555.84765625,18.75200080871582
2025-01-07,240.89407348632812,54531.6640625,7720.3447265625,418.3222961425781,9327.0517578125,74797.1953125,140.09410095214844,22534.861328125,18.54509925842285
