FirstRand,Standard_Bank,Naspers,Anglo_American,MTN_Group,Apple,Microsoft,Nvidia,USD_ZAR_Rate
6190.64111328125,17208.037109375,73506.3984375,50487.49609375,8324.369140625,167.4956512451172,402.8763427734375,79.63206481933594,19.093299865722656
6124.69775390625,17233.013671875,71497.1484375,60039.82421875,8389.3486328125,168.3577880859375,393.00787353515625,82.58539581298828,19.21780014038086
6348.50439453125,17265.98046875,72486.6796875,61012.6484375,8632.271484375,167.7731170654297,400.1777648925781,87.6855239868164,19.01930046081543
6496.3759765625,17482.767578125,72338.6875,62954.35546875,9087.1279296875,171.93524169921875,396.1692810058594,87.70751190185547,18.797500610351562
6510.36474609375,17691.560546875,72141.8984375,60629.4140625,9055.1376953125,168.79383850097656,383.4446105957031,86.35327911376953,18.63031005859375
6508.865478515625,17868.38671875,73068.12890625,60587.16015625,9156.10595703125,167.7731170654297,388.9698181152344,82.99414825439453,18.778099060058594
6507.3662109375,18045.212890625,73994.359375,60544.90625,9257.07421875,171.469482421875,391.82598876953125,85.76859283447266,18.543699264526367
6497.3759765625,17880.375,75168.875,61105.015625,9368.0390625,181.7261505126953,400.5126647949219,88.73892211914062,18.54047966003418
6467.4013671875,18171.08984375,75018.078125,60629.4140625,9336.048828125,180.0712127685547,407.2886657714844,92.08802032470703,18.533300399780273
6568.31396484375,18272.98828125,74542.7109375,61071.60546875,9375.037109375,180.75497436523438,403.1521301269531,90.5029296875,18.472700119018555
6621.26806640625,18182.078125,74179.546875,60543.921875,9413.0244140625,181.0919189453125,404.333984375,90.36101531982422,18.49570083618164
6593.29248046875,18216.04296875,75594.234375,62341.1875,9395.0302734375,182.9053955078125,406.08709716796875,88.69694519042969,18.56555938720703
6704.19677734375,18505.759765625,75418.6484375,62987.76953125,9397.0302734375,181.64517211914062,408.4704895019531,89.82731628417969,18.451549530029297
6742.16357421875,18810.458984375,77014.125,62378.53125,9267.0712890625,184.85037231445312,407.4659423828125,90.34801483154297,18.41230010986328
6619.27001953125,18584.6796875,79993.90625,59302.83984375,8479.3203125,185.9915313720703,410.2629699707031,91.30447387695312,18.341760635375977
6758.14990234375,18816.453125,80474.46875,59627.109375,8642.2685546875,188.26397705078125,417.43597412109375,94.57662963867188,18.379100799560547
6864.05859375,19031.2421875,81490.5859375,59394.22265625,8335.365234375,188.383056640625,415.3739013671875,94.30577850341797,18.249399185180664
6866.05615234375,18920.349609375,78154.0390625,60992.9921875,8614.27734375,188.41281127929688,414.60430908203125,92.42684173583984,18.16309928894043
6915.013671875,19060.21484375,78681.796875,61090.28125,8497.314453125,189.57382202148438,419.6658630371094,94.7265396118164,18.152099609375
6935.99609375,18984.287109375,78761.9921875,60507.5625,8687.25390625,190.87379455566406,423.3165283203125,95.33219909667969,18.150100708007812
6884.04052734375,18846.423828125,77963.8515625,60722.765625,8835.20703125,189.43490600585938,424.7767333984375,94.89644622802734,18.050399780273438
6810.10498046875,18846.423828125,78139.0390625,61638.58984375,8562.2939453125,185.44578552246094,421.3037109375,103.74046325683594,18.276899337768555
6829.08837890625,18844.42578125,78027.8515625,60504.61328125,8605.2802734375,188.52197265625,424.42156982421875,106.40895080566406,18.46339988708496
6768.14111328125,18401.86328125,78240.4375,60184.26953125,8455.3271484375,188.5269317626953,424.50050354003906,110.12285232543945,18.414939880371094
6784.12744140625,18540.724609375,76915.5390625,58859.6640625,8497.314453125,188.53189086914062,424.5794372558594,113.83675384521484,18.301300048828125
6613.275146484375,18070.6875,76537.76171875,58453.337890625,8507.31103515625,188.82960510253906,423.4447326660156,114.76023864746094,18.271739959716797
6442.4228515625,17600.650390625,76159.984375,58047.01171875,8517.3076171875,189.82191467285156,409.13824462890625,110.43768310546875,18.421499252319336
6494.37744140625,17900.35546875,74560.9140625,58335.91015625,8203.4072265625,190.7745361328125,409.5920715332031,109.57115936279297,18.706300735473633
6744.162109375,18563.703125,75994.2109375,57855.3984375,8436.333984375,192.5408935546875,408.0035400390625,114.93512725830078,18.76715087890625
6595.291015625,18443.8203125,76494.1640625,56281.19140625,8167.41845703125,192.8584442138672,410.51953125,116.37132263183594,18.51609992980957
6375.48095703125,18003.25390625,77187.9140625,56247.78515625,8194.41015625,194.36676025390625,418.3536071777344,122.37095642089844,18.711809158325195
